s,d,seed,causal,online_vs_direct_mae,online_vs_direct_maxe,rtl_vs_direct_mae,rtl_vs_direct_maxe,rtl_vs_direct_rmse,rtl_vs_direct_p99,causal_row0_deviation
64,64,20260303,1,2.4827883748912427e-08,2.384185791015625e-07,2.4827883748912427e-08,2.384185791015625e-07,3.69035788594374e-08,1.1920928955078125e-07,0.0
64,64,20260304,1,2.6288169863164512e-08,2.384185791015625e-07,2.6288169863164512e-08,2.384185791015625e-07,3.9197153967052145e-08,1.1920928955078125e-07,0.0
64,64,20260305,1,2.620352823612393e-08,2.384185791015625e-07,2.620352823612393e-08,2.384185791015625e-07,3.976814255679528e-08,1.1920928955078125e-07,0.0
64,64,20260306,1,2.4228324235764376e-08,2.384185791015625e-07,2.4228324235764376e-08,2.384185791015625e-07,3.618110255843021e-08,1.1920928955078125e-07,0.0
64,64,20260307,1,2.622458339374134e-08,2.384185791015625e-07,2.622458339374134e-08,2.384185791015625e-07,3.971898010490804e-08,1.1920928955078125e-07,0.0
64,64,20260303,0,2.4594227099328236e-08,2.086162567138672e-07,2.4594227099328236e-08,2.086162567138672e-07,3.5226459971227086e-08,1.1920928955078125e-07,0.0
64,64,20260304,0,2.5058081831730306e-08,2.682209014892578e-07,2.5058081831730306e-08,2.682209014892578e-07,3.6537425529559187e-08,1.1920928955078125e-07,0.0
64,64,20260305,0,2.492190986913556e-08,3.5762786865234375e-07,2.492190986913556e-08,3.5762786865234375e-07,3.6265028313664516e-08,1.1920928955078125e-07,0.0
64,64,20260306,0,2.271588073199382e-08,2.384185791015625e-07,2.271588073199382e-08,2.384185791015625e-07,3.2373684177855466e-08,1.043081283569336e-07,0.0
64,64,20260307,0,2.5182991691963252e-08,2.384185791015625e-07,2.5182991691963252e-08,2.384185791015625e-07,3.575853568804632e-08,1.1920928955078125e-07,0.0
128,64,20260303,1,2.4857627067831345e-08,2.384185791015625e-07,2.4857627067831345e-08,2.384185791015625e-07,3.6178605000714015e-08,1.1920928955078125e-07,0.0
128,64,20260304,1,2.4126208586494613e-08,3.5762786865234375e-07,2.4126208586494613e-08,3.5762786865234375e-07,3.519837932230985e-08,1.1920928955078125e-07,0.0
128,64,20260305,1,2.493153594684827e-08,3.5762786865234375e-07,2.493153594684827e-08,3.5762786865234375e-07,3.740612797287213e-08,1.1920928955078125e-07,0.0
128,64,20260306,1,2.5972141770580492e-08,3.2782554626464844e-07,2.5972141770580492e-08,3.2782554626464844e-07,3.854164987160402e-08,1.1920928955078125e-07,0.0
128,64,20260307,1,2.3256053083287043e-08,4.76837158203125e-07,2.3256053083287043e-08,4.76837158203125e-07,3.404770865245155e-08,1.1920928955078125e-07,0.0
256,64,20260303,1,2.3675735150163746e-08,3.5762786865234375e-07,2.3675735150163746e-08,3.5762786865234375e-07,3.4064033371805635e-08,1.1920928955078125e-07,0.0
256,64,20260304,1,2.3131168092049847e-08,4.172325134277344e-07,2.3131168092049847e-08,4.172325134277344e-07,3.3637771679195794e-08,1.1920928955078125e-07,0.0
256,64,20260305,1,2.357573336553287e-08,2.980232238769531e-07,2.357573336553287e-08,2.980232238769531e-07,3.417322957943725e-08,1.1920928955078125e-07,0.0
256,64,20260306,1,2.338490112663294e-08,2.682209014892578e-07,2.338490112663294e-08,2.682209014892578e-07,3.3891595307977695e-08,1.1920928955078125e-07,0.0
256,64,20260307,1,2.4597669678882994e-08,4.172325134277344e-07,2.4597669678882994e-08,4.172325134277344e-07,3.6632712863138295e-08,1.1920928955078125e-07,0.0
