seed,mode,mae,max_err,worst
20260315,rtl_strict_like,0.007837,2.284736,"(235, 7, -15.99951171875, -13.714776154055215)"
20260315,proposed_online_floatexp,0.000008,0.000244,"(233, 19, -0.2138671875, -0.2136231769487502)"
20260316,rtl_strict_like,0.014854,8.440494,"(235, 39, -9.60009765625, -1.1596040711769056)"
20260316,proposed_online_floatexp,0.000004,0.000244,"(156, 36, -7.11328125, -7.113037393183641)"
20260317,rtl_strict_like,0.003764,1.511005,"(230, 57, -15.99951171875, -14.488507098968615)"
20260317,proposed_online_floatexp,0.000003,0.000244,"(21, 46, 3.0205078125, 3.020263810234022)"
20260318,rtl_strict_like,0.016404,6.438470,"(57, 7, 15.99267578125, 9.554205660599278)"
20260318,proposed_online_floatexp,0.000005,0.000244,"(139, 11, -8.99951171875, -8.999755797694124)"
20260319,rtl_strict_like,0.006744,4.052134,"(156, 8, 15.99951171875, 11.947377627791107)"
20260319,proposed_online_floatexp,0.000003,0.000244,"(111, 22, 0.232421875, 0.2326655252539809)"
20260320,rtl_strict_like,0.027163,10.499126,"(143, 57, -14.11767578125, -3.6185496909479253)"
20260320,proposed_online_floatexp,0.000005,0.000244,"(63, 40, 0.0576171875, 0.05786124695042231)"
20260321,rtl_strict_like,0.010364,8.238349,"(96, 7, -9.60009765625, -1.3617490186990402)"
20260321,proposed_online_floatexp,0.000002,0.000242,"(0, 31, -2.4765625, -2.4768047244814566)"
20260322,rtl_strict_like,0.016822,10.661209,"(47, 20, -15.0302734375, -4.369064180519349)"
20260322,proposed_online_floatexp,0.000006,0.000243,"(14, 32, 15.87451171875, 15.874268791676718)"
20260323,rtl_strict_like,0.009792,5.415234,"(192, 13, -15.99658203125, -10.581348516110303)"
20260323,proposed_online_floatexp,0.000006,0.000244,"(148, 44, 15.970703125, 15.970946849633389)"
20260324,rtl_strict_like,0.003222,2.473997,"(1, 13, 15.99951171875, 13.52551485849306)"
20260324,proposed_online_floatexp,0.000004,0.000244,"(51, 28, -0.810546875, -0.8107906828038952)"
20260325,rtl_strict_like,0.005648,3.410205,"(49, 6, 15.99951171875, 12.589306968660658)"
20260325,proposed_online_floatexp,0.000004,0.000242,"(215, 21, 0.6767578125, 0.6765158780803353)"
20260326,rtl_strict_like,0.024430,7.911360,"(73, 32, 15.93798828125, 8.026628617540158)"
20260326,proposed_online_floatexp,0.000007,0.000244,"(39, 37, -15.99951171875, -15.999267901181108)"
20260327,rtl_strict_like,0.054979,9.817454,"(63, 12, 15.751953125, 5.934498946889548)"
20260327,proposed_online_floatexp,0.000009,0.000243,"(227, 41, 5.5, 5.499757433582223)"
20260328,rtl_strict_like,0.053902,10.971135,"(86, 49, 15.0302734375, 4.059138819027052)"
20260328,proposed_online_floatexp,0.000006,0.000244,"(100, 62, -13.91162109375, -13.911377006908287)"
20260329,rtl_strict_like,0.035731,6.868238,"(122, 10, 15.98486328125, 9.116625347960376)"
20260329,proposed_online_floatexp,0.000006,0.000244,"(203, 3, -1.12548828125, -1.1252445706377474)"
20260330,rtl_strict_like,0.037405,10.929061,"(70, 9, -15.0302734375, -4.101212800677081)"
20260330,proposed_online_floatexp,0.000006,0.000244,"(54, 36, 0.88037109375, 0.880614990288687)"
20260331,rtl_strict_like,0.016690,6.716780,"(117, 29, -15.98486328125, -9.268082937146932)"
20260331,proposed_online_floatexp,0.000005,0.000243,"(178, 22, 0.0908203125, 0.09106351818616197)"
20260332,rtl_strict_like,0.021660,7.195663,"(200, 7, -15.96923828125, -8.773574854054784)"
20260332,proposed_online_floatexp,0.000008,0.000244,"(228, 56, 0.625, 0.6252439837113699)"
20260333,rtl_strict_like,0.013421,7.472381,"(220, 41, 12.9443359375, 5.471954776118508)"
20260333,proposed_online_floatexp,0.000006,0.000244,"(134, 22, 0.0869140625, 0.08667018031400392)"
20260334,rtl_strict_like,0.042308,10.578627,"(252, 57, -15.0302734375, -4.451646485323611)"
20260334,proposed_online_floatexp,0.000004,0.000244,"(252, 5, 4.0166015625, 4.01635757161687)"
